pr,netrad,Test,output,GHM,Domain,model_netrad
0.6773533711580674,0.025321121658384634,spearman_partial,qr,h08,wet cold,yes
0.812835726476442,0.6111109484550504,spearman,qr,h08,wet cold,yes
0.16513346339802576,0.1859934794320679,regression,qr,h08,wet cold,yes
0.8795073943925674,-0.5973519470114093,spearman_partial,qtot,h08,wet cold,yes
0.8396245076077269,0.40262415001422003,spearman,qtot,h08,wet cold,yes
0.7413114130445968,0.3400752255464455,regression,qtot,h08,wet cold,yes
0.9442646898024817,0.578291485707089,spearman_partial,evap,h08,dry cold,yes
0.9395735612295153,0.5292841225555323,spearman,evap,h08,dry cold,yes
0.6246347469841714,0.387606345951337,regression,evap,h08,dry cold,yes
0.8413293060434482,0.09618374055227208,spearman_partial,qr,h08,dry cold,yes
0.8624211751616163,0.3620911024583364,spearman,qr,h08,dry cold,yes
0.15316383497097694,0.05737398226988957,regression,qr,h08,dry cold,yes
0.876928412107688,-0.6668359915485772,spearman_partial,qtot,h08,dry cold,yes
0.7678314307821417,-0.11528046869907216,spearman,qtot,h08,dry cold,yes
0.3385396082337384,0.010749813673103969,regression,qtot,h08,dry cold,yes
0.9213563226212472,0.26411322234705525,spearman_partial,evap,h08,dry warm,yes
0.9721390715545412,0.8134703335284339,spearman,evap,h08,dry warm,yes
0.6163541922696505,0.7793552852904587,regression,evap,h08,dry warm,yes
0.9263090019331833,-0.38440447782206505,spearman_partial,qr,h08,dry warm,yes
0.9560323632739199,0.6954639985814733,spearman,qr,h08,dry warm,yes
0.1138254193324059,0.11067617305230407,regression,qr,h08,dry warm,yes
0.8979402542882241,-0.2663018312988493,spearman_partial,qtot,h08,dry warm,yes
0.9458259505267645,0.7031309680179229,spearman,qtot,h08,dry warm,yes
0.36833252749032985,0.36537074766418315,regression,qtot,h08,dry warm,yes
0.6275132118955247,0.3871629008113242,spearman_partial,evap,cwatm,wet warm,yes
0.7114938199012656,0.5546018724784095,spearman,evap,cwatm,wet warm,yes
0.24530772477108015,0.5053127889322269,regression,evap,cwatm,wet warm,yes
0.6674711911444151,0.07240066415824169,spearman_partial,qr,cwatm,wet warm,yes
0.7168027659723476,0.35742603793142896,spearman,qr,cwatm,wet warm,yes
0.4003042347058844,0.2981430681308289,regression,qr,cwatm,wet warm,yes
0.8793611149469616,-0.24659525280137895,spearman_partial,qtot,cwatm,wet warm,yes
0.8816950959989882,0.27899063570493454,spearman,qtot,cwatm,wet warm,yes
0.7486085468252003,0.27987047991026104,regression,qtot,cwatm,wet warm,yes
0.7523429756713451,0.21882530740208048,spearman_partial,evap,cwatm,wet cold,yes
0.828996870724926,0.5601980431732387,spearman,evap,cwatm,wet cold,yes
0.2771341907903213,0.44376516483989975,regression,evap,cwatm,wet cold,yes
0.6257614371499801,-0.08035585024259943,spearman_partial,qr,cwatm,wet cold,yes
0.6715203115987581,0.3215499409202544,spearman,qr,cwatm,wet cold,yes
0.26933102827363387,0.14809049670334185,regression,qr,cwatm,wet cold,yes
0.7385399308315768,-0.005380872508325943,spearman_partial,qtot,cwatm,wet cold,yes
0.7950683784207335,0.4367394393739632,spearman,qtot,cwatm,wet cold,yes
0.7114291065887898,0.39017694807791126,regression,qtot,cwatm,wet cold,yes
0.9399318856516706,0.43618024607600914,spearman_partial,evap,cwatm,dry cold,yes
0.9285465389603595,0.20597677462601177,spearman,evap,cwatm,dry cold,yes
0.5993941455151253,0.0663466432400268,regression,evap,cwatm,dry cold,yes
0.4730584097939693,0.21261277373988313,spearman_partial,qr,cwatm,dry cold,yes
0.47200594419819913,0.209715784385767,spearman,qr,cwatm,dry cold,yes
0.11027907262543726,0.011928280138104886,regression,qr,cwatm,dry cold,yes
0.8410169160159594,-0.3316432794307532,spearman_partial,qtot,cwatm,dry cold,yes
0.8236517625440009,-0.1486143863822642,spearman,qtot,cwatm,dry cold,yes
0.38668498725062467,-0.016853703633517344,regression,qtot,cwatm,dry cold,yes
0.9604763136095642,-0.056312680135885834,spearman_partial,evap,cwatm,dry warm,yes
0.9608184246809256,0.10782890839483121,spearman,evap,cwatm,dry warm,yes
0.5543573452565137,0.11351759628568121,regression,evap,cwatm,dry warm,yes
0.7802831766759343,0.0889239022319351,spearman_partial,qr,cwatm,dry warm,yes
0.7843732772479758,0.15536647098943726,spearman,qr,cwatm,dry warm,yes
0.21508075360993156,0.06906078316128161,regression,qr,cwatm,dry warm,yes
0.9531355256117446,-0.027678502894447052,spearman_partial,qtot,cwatm,dry warm,yes
0.953724616436654,0.11414451220442967,spearman,qtot,cwatm,dry warm,yes
0.43971597508150917,0.12578312574712144,regression,qtot,cwatm,dry warm,yes
0.37858969655313435,0.6950178903602185,spearman_partial,evap,Mean,wet warm,yes
0.713014844358561,0.8386550107046652,spearman,evap,Mean,wet warm,yes
0.20360016224122576,0.6414546583928403,regression,evap,Mean,wet warm,yes
0.9099066934849632,-0.3768165125013207,spearman_partial,qr,Mean,wet warm,yes
0.9224906728960353,0.5069234593159623,spearman,qr,Mean,wet warm,yes
0.408588815704623,0.3313630986851424,regression,qr,Mean,wet warm,yes
0.9136185740927948,-0.5044374005071969,spearman_partial,qtot,Mean,wet warm,yes
0.9069158927473097,0.4465662392909027,spearman,qtot,Mean,wet warm,yes
0.7769714906955886,0.5214506093634838,regression,qtot,Mean,wet warm,yes
0.4771856880222092,0.7835957837755072,spearman_partial,evap,Mean,wet cold,yes
0.8011089842313689,0.9060719141186567,spearman,evap,Mean,wet cold,yes
0.23310447174538082,0.5758526636786312,regression,evap,Mean,wet cold,yes
0.897418560917839,-0.3075176571060083,spearman_partial,qr,Mean,wet cold,yes
0.9290931954920858,0.6030711580715388,spearman,qr,Mean,wet cold,yes
0.36468635195650057,0.2655867256579006,regression,qr,Mean,wet cold,yes
0.8615841301802106,-0.5589025864605818,spearman_partial,qtot,Mean,wet cold,yes
0.8261111166515414,0.39065175331734703,spearman,qtot,Mean,wet cold,yes
0.7147489180987373,0.3433248320133497,regression,qtot,Mean,wet cold,yes
0.9361632051486077,0.5544155657913984,spearman_partial,evap,Mean,dry cold,yes
0.9320707748629444,0.5143267082226791,spearman,evap,Mean,dry cold,yes
0.5939939893112591,0.30366651082003476,regression,evap,Mean,dry cold,yes
0.8705202261273054,-0.2447544620032074,spearman_partial,qr,Mean,dry cold,yes
0.8669403403717793,0.18910770466259205,spearman,qr,Mean,dry cold,yes
0.1316220719663464,0.0459637210809168,regression,qr,Mean,dry cold,yes
0.8630753132297656,-0.5592058753419135,spearman_partial,qtot,Mean,dry cold,yes
0.7933857921147836,-0.04123304347459151,spearman,qtot,Mean,dry cold,yes
0.35293124059271813,0.031547374984992424,regression,qtot,Mean,dry cold,yes
0.9626767278234588,0.1255235933142955,spearman_partial,evap,Mean,dry warm,yes
0.9815935014003462,0.7140923705443112,spearman,evap,Mean,dry warm,yes
0.6413174332316023,0.6856845215305447,regression,evap,Mean,dry warm,yes
0.8823826848871136,-0.28550909237608546,spearman_partial,qr,Mean,dry warm,yes
0.9148159146074504,0.5686194278849792,spearman,qr,Mean,dry warm,yes
0.12809310052073913,0.11361573145419432,regression,qr,Mean,dry warm,yes
0.9125487907520047,-0.19547957056434812,spearman_partial,qtot,Mean,dry warm,yes
0.9457704582714573,0.6270757101471024,spearman,qtot,Mean,dry warm,yes
0.3281642692868992,0.31146544070827953,regression,qtot,Mean,dry warm,yes
